Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,359,Phillips,4.8,4.8,Ipswich,71,1.88,67,2.03,66,1.72,65,1.70,63,1.64,63,1.75,63,1.82,62,1.87,63,1.86,0.00
M,360,Rodrigo,6.2,6.2,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,361,Rúben,5.4,5.4,Man City,91,4.38,87,2.94,85,3.25,81,5.52,79,0.27,74,3.19,72,4.21,66,1.73,65,2.17,0.00
D,362,Stones,5.3,5.3,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.14,17,0.51,33,1.30,0.00
D,363,Walker,5.1,5.1,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,364,Amad,5.3,5.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,32,1.57,69,4.27,77,2.81,78,3.96,0.00
M,365,Antony,5.7,5.7,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,366,B.Fernandes,8.6,8.6,Man Utd,89,4.41,88,4.60,86,4.15,84,6.48,84,2.76,82,4.48,83,5.71,83,3.33,82,4.73,0.44
G,367,Bayindir,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,368,Casemiro,4.7,4.7,Man Utd,17,0.71,13,0.57,12,0.51,14,0.82,13,0.37,12,0.51,10,0.59,11,0.42,11,0.51,0.00
D,369,Dalot,5.0,5.0,Man Utd,91,2.96,87,2.66,84,2.32,82,4.40,82,1.60,81,2.51,79,4.03,80,1.89,80,3.07,0.04
M,370,Eriksen,5.2,5.2,Man Utd,20,1.00,13,0.66,12,0.59,15,0.99,15,0.48,12,0.65,10,0.67,10,0.44,10,0.57,0.00
D,371,Evans,4.4,4.4,Man Utd,6,0.19,7,0.22,3,0.09,3,0.15,5,0.10,5,0.15,5,0.21,4,0.11,5,0.17,0.00
M,372,Garnacho,5.9,5.9,Man Utd,65,3.05,59,2.83,55,2.50,58,3.92,55,1.68,52,2.61,47,3.12,43,1.74,42,2.31,0.01
M,373,Hannibal,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,374,Heaton,3.9,3.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,375,Højlund,6.9,6.9,Man Utd,64,2.91,61,2.85,58,2.62,60,3.89,59,1.79,56,2.82,55,3.64,53,2.08,53,2.84,0.00
D,376,Lindelof,4.3,4.3,Man Utd,29,0.91,13,0.35,5,0.10,5,0.20,7,0.10,6,0.15,6,0.22,6,0.12,6,0.17,0.00
D,377,Maguire,4.9,4.9,Man Utd,36,1.09,55,1.55,71,1.76,71,3.40,69,1.21,68,1.89,68,3.14,67,1.45,67,2.34,0.00
M,378,Mainoo,5.2,5.2,Man Utd,31,1.04,51,1.63,65,1.96,65,2.82,64,1.30,62,2.00,59,2.52,58,1.57,57,1.99,0.00
D,379,Malacia,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,380,Martinez,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,381,McTominay,4.9,4.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,382,Mount,6.3,6.3,Man Utd,23,1.14,31,1.48,34,1.52,33,2.17,33,1.01,29,1.48,26,1.72,25,1.05,25,1.37,0.00
G,383,Onana,5.0,5.0,Man Utd,93,3.36,93,3.25,93,3.21,92,4.49,92,2.13,91,3.21,91,4.34,91,2.77,91,3.37,0.00
M,384,Pellistri,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,385,Rashford,6.7,6.7,Aston Villa,35,1.98,35,2.13,35,2.43,36,3.67,38,0.18,37,2.33,36,2.99,37,1.79,0,0.00,0.00
M,386,Sancho,6.2,6.2,Chelsea,81,4.56,72,3.67,65,3.88,64,2.92,62,3.27,63,2.82,56,2.78,0,0.00,60,2.79,0.00
D,387,Shaw,4.9,4.9,Man Utd,32,0.99,52,1.52,65,1.68,66,3.28,66,1.21,63,1.83,62,2.93,61,1.36,59,2.14,0.00
D,388,Wan-Bissaka,4.5,4.5,West Ham,91,2.94,87,2.70,85,1.52,83,4.61,83,0.81,82,2.76,81,2.81,80,2.49,79,2.92,0.00
F,389,Zirkzee,6.5,6.5,Man Utd,66,2.83,63,2.78,63,2.69,58,3.65,58,1.71,58,2.79,53,3.31,54,2.06,53,2.72,0.00
D,390,A.Murphy,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,391,Almirón,5.4,5.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,392,Barnes,5.9,5.9,Newcastle,52,3.38,36,2.40,37,4.56,38,2.10,38,2.64,36,1.93,38,2.22,37,1.62,34,2.13,0.00
D,393,Botman,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,30,0.91,63,2.16,74,1.92,70,3.12,0.00
M,394,Bruno G.,6.1,6.1,Newcastle,88,3.50,86,3.50,84,6.32,83,2.87,82,3.63,81,2.63,81,2.91,81,2.29,80,3.03,0.00
D,395,Burn,4.4,4.4,Newcastle,89,3.12,86,3.64,80,6.04,75,2.26,77,3.60,77,2.19,70,2.32,68,1.66,69,3.01,0.02
G,396,Dúbravka,4.2,4.2,Newcastle,0,0.00,3,0.11,3,0.24,3,0.12,4,0.18,3,0.11,4,0.14,5,0.16,4,0.15,0.00
M,397,Fraser,4.8,4.8,Southampton,1,0.10,2,0.15,3,0.21,3,0.32,4,0.11,4,0.26,5,0.35,5,0.30,6,0.32,0.00
M,398,Gordon,7.4,7.4,Newcastle,0,0.00,77,4.42,77,8.21,76,3.64,75,4.69,73,3.38,75,3.74,74,2.72,73,4.01,0.00
D,399,Hall,4.8,4.6,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.10
M,400,Hayden,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,401,Isak,9.3,9.3,Newcastle,89,6.26,84,5.83,82,10.66,82,4.73,79,6.18,80,4.34,79,4.97,79,3.35,79,5.09,0.40
M,402,J.Murphy,5.0,5.0,Newcastle,77,4.05,64,3.47,62,6.30,61,2.83,63,3.67,62,2.79,60,2.91,61,2.29,62,3.17,0.00
M,403,Joelinton,6.0,6.0,Newcastle,85,3.79,64,2.84,52,4.23,58,2.18,70,3.34,77,2.66,78,2.97,76,2.23,76,3.13,0.00
D,404,Kelly,4.2,4.2,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,405,Krafth,4.3,4.3,Newcastle,28,1.03,31,1.32,37,2.90,38,1.24,39,1.79,27,0.85,18,0.65,15,0.44,13,0.54,0.00
M,406,Kuol,4.4,4.4,Newcastle,1,0.10,0,0.00,1,0.25,1,0.13,2,0.16,1,0.12,2,0.15,2,0.16,2,0.16,0.00
D,407,Lascelles,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,0.23,0.00
D,408,Lewis,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,409,Livramento,4.5,4.5,Newcastle,86,3.27,82,3.66,80,6.49,79,2.65,78,3.88,75,2.32,72,2.63,71,1.96,73,3.38,0.04
M,410,Longstaff,4.5,4.5,Newcastle,20,0.91,20,0.94,24,2.13,25,1.02,21,1.00,22,0.88,20,0.83,19,0.74,19,0.83,0.00
M,411,Miley,5.0,5.0,Newcastle,9,0.48,9,0.47,14,1.41,14,0.64,14,0.72,12,0.55,12,0.58,13,0.53,13,0.65,0.00
G,412,Odysseas,4.2,4.2,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,413,Pope,4.9,4.9,Newcastle,94,3.48,92,3.81,92,7.21,92,3.33,91,3.92,92,3.26,91,3.35,90,3.15,91,3.81,0.02
G,414,Ruddy,3.9,3.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,415,Schär,5.4,5.4,Newcastle,91,3.28,89,3.88,86,6.73,86,2.68,84,4.10,83,2.41,82,2.81,82,2.05,80,3.53,0.00
D,416,Targett,3.9,3.9,Newcastle,13,0.53,15,0.68,17,1.48,20,0.74,19,0.93,16,0.55,10,0.40,10,0.32,9,0.39,0.00
M,417,Tonali,5.5,5.5,Newcastle,83,3.34,80,3.27,79,5.97,79,2.73,76,3.32,74,2.47,75,2.73,75,2.17,75,2.88,0.00
D,418,Trippier,5.6,5.6,Newcastle,72,3.67,70,3.99,70,7.34,70,2.99,70,4.43,63,2.48,58,2.68,55,1.92,55,3.13,0.01
M,419,White,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,420,Willock,4.7,4.7,Newcastle,36,1.88,34,1.70,40,3.68,39,1.69,36,1.87,33,1.42,31,1.44,31,1.18,33,1.58,0.00
F,421,Wilson,6.9,6.9,Newcastle,17,1.37,13,1.03,15,2.27,15,1.07,16,1.37,16,1.07,15,1.09,16,0.88,17,1.26,0.00
D,422,Aina,5.4,5.4,Nott'm Forest,90,3.33,88,2.74,86,3.61,84,2.51,83,1.76,82,2.80,81,5.01,80,2.56,81,2.58,0.01
M,423,Anderson,5.0,5.0,Nott'm Forest,81,2.79,77,2.49,77,2.71,76,2.64,75,1.65,75,2.65,75,4.06,72,2.23,74,2.46,0.00
F,424,Awoniyi,5.5,5.5,Nott'm Forest,8,0.61,10,0.69,12,0.82,13,0.92,14,0.61,14,0.94,14,1.51,14,0.83,14,0.87,0.00
D,425,Boly,4.2,4.2,Nott'm Forest,3,0.09,5,0.15,5,0.20,7,0.23,8,0.17,9,0.32,10,0.57,12,0.38,10,0.34,0.00
M,426,Bowler,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,427,C.Miguel,4.1,4.1,Nott'm Forest,0,0.00,0,0.00,2,0.10,3,0.12,4,0.09,4,0.17,4,0.26,4,0.16,4,0.15,0.00
M,428,Da Silva Moreira,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,1,0.05,2,0.06,2,0.05,2,0.07,2,0.13,3,0.10,3,0.11,0.00
M,429,Danilo,4.7,4.7,Nott'm Forest,20,0.90,22,0.96,25,1.09,27,1.16,27,0.71,27,1.21,28,1.76,28,1.04,27,1.12,0.00
F,430,Dennis,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,431,Dominguez,4.8,4.8,Nott'm Forest,51,1.90,52,1.81,50,1.87,46,1.70,51,1.18,50,1.92,53,3.03,51,1.64,52,1.85,0.00
M,432,Elanga,5.3,5.3,Nott'm Forest,78,3.92,75,3.42,73,3.64,73,3.60,73,2.33,72,3.48,70,5.59,70,2.98,71,3.32,0.06
M,433,Gibbs-White,6.6,6.6,Nott'm Forest,80,4.02,79,3.54,78,3.97,78,3.87,76,2.48,76,3.77,73,6.06,75,3.19,73,3.48,0.02
M,434,Hudson-Odoi,5.2,5.2,Nott'm Forest,78,3.65,74,3.12,72,3.45,71,3.22,72,2.09,69,3.23,68,4.98,70,2.75,69,3.02,0.01
M,435,Mighten,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,436,Murillo,4.7,4.7,Nott'm Forest,86,3.17,82,2.56,81,3.38,80,2.33,79,1.65,78,2.64,78,4.71,75,2.33,74,2.35,0.01
D,437,N.Williams,4.4,4.4,Nott'm Forest,86,3.30,86,2.75,81,3.52,80,2.51,80,1.75,77,2.74,77,4.95,78,2.54,77,2.59,0.11
D,438,O.Richards,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,439,O'Brien,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,440,Omobamidele,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,441,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,442,Sangaré,4.3,4.3,Nott'm Forest,26,1.04,28,1.02,31,1.16,31,1.14,30,0.68,31,1.22,32,1.76,31,1.02,30,1.09,0.00
G,443,Sels,5.1,5.1,Nott'm Forest,93,3.53,93,3.40,92,3.75,92,3.30,91,2.01,91,3.67,90,5.13,90,3.12,90,3.26,0.03
D,444,Toffolo,4.2,4.2,Nott'm Forest,2,0.08,8,0.31,4,0.16,5,0.19,6,0.14,7,0.27,8,0.48,7,0.24,8,0.31,0.00
G,445,Turner,3.9,3.9,Crystal Palace,1,0.06,1,0.05,3,0.18,3,0.16,3,0.07,0,0.00,5,0.19,4,0.16,4,0.15,0.01
F,446,Ui-jo,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,447,Wood,7.3,7.3,Nott'm Forest,88,4.93,85,4.29,82,4.46,81,4.44,79,2.80,79,4.23,80,6.99,79,3.55,79,4.04,0.39
D,448,Worrall,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,449,Yates,4.8,4.8,Nott'm Forest,29,1.13,32,1.20,32,1.27,33,1.28,33,0.78,33,1.32,34,1.93,35,1.19,36,1.34,0.00
M,450,Alcaraz,4.9,4.9,Everton,54,1.90,49,1.91,39,1.65,39,1.67,43,1.67,42,2.14,41,1.72,43,2.34,44,1.72,0.00
M,451,Amo-Ameyaw,4.4,4.4,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,452,Aribo,4.9,4.9,Southampton,64,2.30,61,2.13,56,2.08,56,2.83,53,0.78,56,2.23,54,2.15,57,1.92,55,1.75,0.00
F,453,Armstrong,5.1,5.1,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,454,Bazunu,4.3,4.3,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,455,Bednarek,4.0,4.0,Southampton,38,0.95,57,0.96,82,1.92,81,2.71,80,0.85,80,2.45,80,1.52,80,1.86,81,1.42,0.01
D,456,Bella-Kotchap,3.9,3.9,Southampton,84,2.13,77,1.34,66,1.64,66,2.34,64,0.71,64,2.04,63,1.29,62,1.55,63,1.19,0.00
D,457,Bree,3.9,3.9,Southampton,24,0.79,33,0.83,44,1.40,46,2.02,43,0.58,46,1.80,47,1.31,45,1.41,45,1.13,0.00
M,458,Charles,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,459,Edozie,4.9,4.9,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,460,Edwards,3.9,3.9,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,461,Harwood-Bellis,4.0,4.0,Southampton,91,2.18,88,1.40,85,2.04,84,2.81,83,0.87,82,2.53,80,1.53,80,1.92,80,1.45,0.02
M,462,Kamaldeen,5.0,5.0,Southampton,65,2.65,64,2.61,61,2.57,61,3.39,60,0.99,60,2.71,59,2.63,60,2.27,59,2.01,0.00
M,463,Lallana,5.0,5.0,Southampton,0,0.00,1,0.09,1,0.09,0,0.00,1,0.04,2,0.14,2,0.13,2,0.13,2,0.12,0.00
D,464,Larios,3.9,3.9,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,465,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,466,Lumley,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
D,467,Manning,4.3,4.3,Southampton,34,1.26,31,0.96,28,1.04,30,1.52,32,0.49,30,1.31,32,1.09,31,1.08,31,0.90,0.00
F,468,Mara,5.0,5.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,469,McCarthy,4.2,4.2,Southampton,0,0.00,2,0.06,2,0.07,2,0.11,3,0.04,3,0.13,4,0.14,3,0.09,3,0.09,0.00
F,470,Onuachu,4.9,4.9,Southampton,62,2.87,59,2.79,57,2.78,57,3.59,55,1.05,53,2.83,54,2.83,51,2.22,52,2.01,0.00
M,471,Smallbone,5.0,5.0,Southampton,14,0.61,23,0.95,37,1.51,36,2.04,36,0.59,38,1.68,38,1.67,38,1.44,37,1.32,0.00
D,472,Stephens,4.0,4.0,Southampton,20,0.57,20,0.45,13,0.38,15,0.59,15,0.19,15,0.50,17,0.46,18,0.51,16,0.37,0.00
F,473,Stewart,4.4,4.4,Southampton,4,0.24,5,0.35,10,0.60,9,0.77,10,0.24,10,0.68,11,0.70,12,0.64,13,0.63,0.01
D,474,Sugawara,4.2,4.2,Southampton,53,1.81,48,1.30,42,1.44,41,1.96,42,0.61,43,1.78,40,1.25,40,1.33,40,1.09,0.00
D,475,Taylor,3.9,3.9,Southampton,4,0.13,4,0.08,2,0.05,2,0.08,3,0.03,3,0.09,3,0.09,4,0.10,3,0.08,0.00
D,476,Walker-Peters,4.3,4.3,Southampton,90,2.28,85,1.52,82,2.08,81,2.87,80,0.90,79,2.58,77,1.61,79,1.97,78,1.48,0.00
D,477,Wood,4.0,4.0,Southampton,2,0.07,2,0.06,0,0.00,1,0.05,1,0.02,1,0.05,2,0.06,2,0.08,2,0.06,0.00
D,478,A.Phillips,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,479,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,480,Bentancur,4.9,4.9,Spurs,77,2.13,72,2.66,69,2.09,68,2.15,67,1.76,65,2.00,65,2.67,65,1.33,64,2.01,0.00
M,481,Bergvall,4.4,4.4,Spurs,49,1.59,47,1.92,43,1.48,41,1.48,41,1.31,42,1.46,41,1.89,43,0.98,42,1.45,0.00
M,482,Bissouma,4.8,4.8,Spurs,25,0.92,29,1.20,27,0.98,28,1.03,29,0.98,29,1.03,28,1.35,30,0.71,31,1.10,0.00
M,483,Bryan,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,484,Davies,4.3,4.3,Spurs,6,0.13,8,0.30,6,0.18,7,0.22,9,0.16,10,0.27,10,0.40,11,0.20,10,0.28,0.00
M,485,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,486,Dragusin,4.3,4.3,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,487,E.Royal,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,488,Forster,4.3,4.3,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,489,Gray,4.6,4.6,Spurs,5,0.17,7,0.26,6,0.20,8,0.27,10,0.30,9,0.29,11,0.44,12,0.24,12,0.36,0.00
M,490,Højbjerg,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,491,Johnson,6.2,6.2,Spurs,53,2.49,51,3.54,41,2.16,40,2.29,39,1.72,41,2.17,41,2.89,41,1.42,42,2.31,0.00
M,492,Kulusevski,6.2,6.2,Spurs,37,1.42,48,2.65,79,3.14,79,3.31,79,2.54,78,3.07,77,4.14,78,2.06,77,3.15,0.00
M,493,Lo Celso,4.9,4.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,494,Maddison,7.4,7.4,Spurs,53,2.59,49,3.63,42,2.25,40,2.28,40,1.74,42,2.27,42,3.07,38,1.38,39,2.21,0.00
D,495,Pedro Porro,5.3,5.3,Spurs,65,1.68,63,3.47,65,2.43,62,2.48,60,1.19,58,2.13,60,2.93,61,1.29,60,2.15,0.01
D,496,Reguilón,4.1,4.1,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.05,0,0.00,1,0.03,1,0.06,0.00
F,497,Richarlison,6.8,6.8,Spurs,11,0.61,17,1.24,27,1.48,29,1.66,28,1.36,28,1.53,31,2.21,28,1.02,29,1.60,0.00
D,498,Romero,4.9,4.9,Spurs,91,1.75,86,3.70,85,2.50,83,2.66,83,1.22,82,2.44,82,3.15,81,1.31,82,2.27,0.00
M,499,P.M.Sarr,4.7,4.7,Spurs,35,1.27,33,1.50,32,1.23,32,1.27,32,1.09,33,1.25,33,1.68,32,0.82,33,1.25,0.00
F,500,Scarlett,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,501,Skipp,4.7,4.7,Leicester,11,0.42,13,0.47,17,0.63,20,0.69,19,0.69,18,0.71,19,0.69,19,0.74,19,0.70,0.00
M,502,Solomon,5.4,5.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,503,Son,9.7,9.7,Spurs,76,4.02,73,6.07,71,4.14,67,4.29,68,3.18,68,3.97,66,5.38,66,2.56,65,4.01,0.01
D,504,Spence,4.4,4.4,Spurs,39,0.98,43,1.97,37,1.26,41,1.49,42,0.82,45,1.50,43,1.90,43,0.84,43,1.35,0.00
D,505,Udogie,4.8,4.8,Spurs,80,1.91,75,3.68,76,2.60,75,2.75,73,1.38,71,2.44,71,3.17,69,1.35,68,2.25,0.00
D,506,Van de Ven,4.5,4.5,Spurs,90,1.64,87,3.38,85,2.35,83,2.48,81,1.13,80,2.23,80,2.89,78,1.20,79,2.10,0.00
F,507,Veliz,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,508,Vicario,4.8,4.8,Spurs,94,3.17,93,3.68,92,3.36,91,3.30,91,3.02,91,3.29,91,4.28,90,2.17,91,3.21,0.00
M,509,Werner,6.2,6.2,Spurs,2,0.14,2,0.24,1,0.10,2,0.17,2,0.14,3,0.22,2,0.27,3,0.17,3,0.23,0.00
G,510,Whiteman,3.9,3.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,511,Álvarez,5.0,5.0,West Ham,51,1.64,53,1.66,50,1.41,54,2.54,52,0.61,50,1.72,51,1.91,54,1.52,51,1.66,0.00
F,512,Antonio,5.3,5.3,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,513,Areola,4.2,4.2,West Ham,93,3.45,93,3.33,91,3.02,90,5.05,89,1.23,89,3.35,89,3.97,88,2.98,87,3.43,0.03
M,514,Bowen,7.6,7.6,West Ham,90,4.32,87,4.38,85,3.20,82,6.96,81,1.42,80,4.86,81,4.64,80,3.69,79,4.30,0.13
M,515,Cornet,4.7,4.7,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,516,Coufal,4.1,4.1,West Ham,16,0.60,26,0.93,37,0.90,38,2.28,39,0.45,38,1.46,42,1.70,38,1.30,40,1.62,0.00
D,517,Cresswell,3.9,3.9,West Ham,22,0.78,21,0.72,20,0.49,22,1.27,24,0.29,24,0.94,23,0.95,24,0.81,24,0.95,0.00
M,518,Downes,4.7,4.7,Southampton,19,0.69,15,0.56,16,0.57,16,0.82,20,0.28,21,0.81,22,0.88,21,0.74,21,0.69,0.00
M,519,Earthy,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,520,Emerson,4.4,4.4,West Ham,45,1.77,43,1.64,39,1.05,38,2.47,38,0.49,38,1.62,38,1.71,37,1.40,37,1.65,0.00
G,521,Fabianski,4.0,4.0,West Ham,2,0.07,2,0.08,4,0.13,5,0.28,6,0.08,6,0.22,6,0.28,6,0.21,8,0.30,0.38
G,522,Foderingham,4.3,4.3,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,523,Ings,4.9,4.9,West Ham,2,0.15,2,0.14,0,0.00,1,0.11,4,0.12,2,0.16,2,0.16,1,0.09,2,0.14,0.00
D,524,Kilman,4.3,4.3,West Ham,91,2.86,88,2.60,85,1.50,83,4.54,82,0.77,83,2.69,82,2.79,83,2.52,85,2.99,0.00
M,525,Kudus,6.2,6.2,West Ham,87,3.92,81,3.81,77,2.74,77,5.92,78,1.26,75,4.10,75,3.98,74,3.11,74,3.54,0.00
M,526,L.Guilherme,4.6,4.6,West Ham,2,0.15,2,0.12,2,0.11,2,0.21,3,0.07,2,0.15,2,0.18,3,0.17,3,0.20,0.00
M,527,L.Paquetá,5.7,5.7,West Ham,73,3.25,69,3.16,67,2.46,66,4.98,65,1.05,65,3.42,65,3.41,63,2.65,64,3.02,0.00
D,528,Mavropanos,4.3,4.3,West Ham,56,1.98,49,1.65,43,0.94,47,2.80,46,0.51,47,1.75,44,1.73,45,1.56,47,1.88,0.00
